"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","2","10","Sant Martí","67","la Vila Olímpica del Poblenou",553
"2019","2","10","Sant Martí","68","el Poblenou",288
"2019","2","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",806
"2019","2","10","Sant Martí","70","el Besòs i el Maresme",234
"2019","2","10","Sant Martí","71","Provençals del Poblenou",334
"2019","2","10","Sant Martí","72","Sant Martí de Provençals",257
"2019","2","10","Sant Martí","73","la Verneda i la Pau",169
"2019","3","1","Ciutat Vella","1","el Raval",190
"2019","3","1","Ciutat Vella","2","el Barri Gòtic",375
"2019","3","1","Ciutat Vella","3","la Barceloneta",195
"2019","3","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",335
"2019","3","2","Eixample","5","el Fort Pienc",320
"2019","3","2","Eixample","6","la Sagrada Família",276
"2019","3","2","Eixample","7","la Dreta de l'Eixample",573
"2019","3","2","Eixample","8","l'Antiga Esquerra de l'Eixample",436
"2019","3","2","Eixample","9","la Nova Esquerra de l'Eixample",342
"2019","3","2","Eixample","10","Sant Antoni",354
"2019","3","3","Sants-Montjuïc","11","el Poble Sec",231
"2019","3","3","Sants-Montjuïc","12","la Marina del Prat Vermell",121
"2019","3","3","Sants-Montjuïc","13","la Marina de Port",196
"2019","3","3","Sants-Montjuïc","14","la Font de la Guatlla",258
"2019","3","3","Sants-Montjuïc","15","Hostafrancs",394
"2019","3","3","Sants-Montjuïc","16","la Bordeta",216
"2019","3","3","Sants-Montjuïc","17","Sants - Badal",241
"2019","3","3","Sants-Montjuïc","18","Sants",250
"2019","3","4","Les Corts","19","les Corts",355
"2019","3","4","Les Corts","20","la Maternitat i Sant Ramon",384
"2019","3","4","Les Corts","21","Pedralbes",899
"2019","3","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",373
"2019","3","5","Sarrià-Sant Gervasi","23","Sarrià",693
"2019","3","5","Sarrià-Sant Gervasi","24","les Tres Torres",722
"2019","3","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",701
"2019","3","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",655
"2019","3","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",505
"2019","3","6","Gràcia","28","Vallcarca i els Penitents",375
"2019","3","6","Gràcia","29","el Coll",213
"2019","3","6","Gràcia","30","la Salut",358
"2019","3","6","Gràcia","31","la Vila de Gràcia",378
"2019","3","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",321
"2019","3","7","Horta-Guinardó","33","el Baix Guinardó",338
"2019","3","7","Horta-Guinardó","34","Can Baró",175
"2019","3","7","Horta-Guinardó","35","el Guinardó",243
"2019","3","7","Horta-Guinardó","36","la Font d'en Fargues",239
"2019","3","7","Horta-Guinardó","37","el Carmel",151
"2019","3","7","Horta-Guinardó","38","la Teixonera",155
"2019","3","7","Horta-Guinardó","39","Sant Genís dels Agudells",151
"2019","3","7","Horta-Guinardó","40","Montbau",188
"2019","3","7","Horta-Guinardó","41","la Vall d'Hebron",170
"2019","3","7","Horta-Guinardó","43","Horta",230
"2019","3","8","Nou Barris","44","Vilapicina i la Torre Llobeta",212
"2019","3","8","Nou Barris","45","Porta",188
"2019","3","8","Nou Barris","46","el Turó de la Peira",139
"2019","3","8","Nou Barris","48","la Guineueta",257
"2019","3","8","Nou Barris","49","Canyelles",170
"2019","3","8","Nou Barris","50","les Roquetes",223
"2019","3","8","Nou Barris","51","Verdun",133
"2019","3","8","Nou Barris","52","la Prosperitat",151
"2019","3","8","Nou Barris","53","la Trinitat Nova",91
"2019","3","8","Nou Barris","54","Torre Baró",151
"2019","3","8","Nou Barris","55","Ciutat Meridiana",71
"2019","3","9","Sant Andreu","57","la Trinitat Vella",317
"2019","3","9","Sant Andreu","59","el Bon Pastor",189
"2019","3","9","Sant Andreu","60","Sant Andreu",269
"2019","3","9","Sant Andreu","61","la Sagrera",271
"2019","3","9","Sant Andreu","62","el Congrés i els Indians",241
"2019","3","9","Sant Andreu","63","Navas",443
"2019","3","10","Sant Martí","64","el Camp de l'Arpa del Clot",338
"2019","3","10","Sant Martí","65","el Clot",322
"2019","3","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",208
"2019","3","10","Sant Martí","68","el Poblenou",342
"2019","3","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",551
"2019","3","10","Sant Martí","70","el Besòs i el Maresme",307
"2019","3","10","Sant Martí","71","Provençals del Poblenou",497
"2019","3","10","Sant Martí","72","Sant Martí de Provençals",354
"2019","3","10","Sant Martí","73","la Verneda i la Pau",179
"2019","3","1","Ciutat Vella","2","el Barri Gòtic",348
"2019","3","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",403
"2019","3","2","Eixample","7","la Dreta de l'Eixample",1095
"2019","3","2","Eixample","8","l'Antiga Esquerra de l'Eixample",291
"2019","3","3","Sants-Montjuïc","15","Hostafrancs",383
"2019","3","4","Les Corts","19","les Corts",1176
"2019","3","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",793
"2019","3","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",523
"2019","3","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",570
"2019","3","6","Gràcia","30","la Salut",597
"2019","3","6","Gràcia","31","la Vila de Gràcia",397
"2019","3","7","Horta-Guinardó","35","el Guinardó",256
"2019","3","7","Horta-Guinardó","37","el Carmel",171
"2019","3","7","Horta-Guinardó","38","la Teixonera",108
